employment_income,mn_amt_0,mn_amt_1,mn_amt_2,mn_amt_3,mn_amt_4,mn_amt_5,mn_amt_6
22322.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22382.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22442.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22502.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22562.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22622.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22682.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22742.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22802.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22862.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22922.293,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22982.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23042.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23102.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23162.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23222.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23282.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23342.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23402.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23462.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23522.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23582.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23642.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23702.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23762.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23822.383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23882.389,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23942.395,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24002.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24062.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24122.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24182.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24242.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24302.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24362.436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24422.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24482.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24542.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24602.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24662.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24722.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24782.479,0.0,0.0,0.0,0.0,0.0,0.0,0.0
